match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11701785,Bougouffa  H.,bougouffa-hanna,F,59,,,,,,,4028,4855,373288,1074,BOU,France,"Bougouffa , Hanna"
11701786,Minin M.,minin-matvey,M,57,"Saint-Petersburg, Russia","Saint-Petersburg, Russia",1.85,83,left-handed,,2072,21192,213092,1454,MIN,Russia,"Minin, Matvey"
11701787,Nedelchev N.,nedelchev-nikolay,M,139,,,,,,,5192,10098,316904,955,NED,Bulgaria,"Nedelchev, Nikolay"
11701788,Iliev S.,iliev-sarah,F,304,,,,,,,9504,13064,367820,588,ILI,France,"Iliev, Sarah"
11701839,Weis A.,weis-alexander,M,966,"Bolzano, Italy","Bolzano, Italy",1.88,83,right-handed,,28065,101449,144102,308,WEI,Italy,"Weis, Alexander"
11701840,Veselý J.,vesely-jiri,M,2103,"Ras Al Khaimah, UAE","Pribram, Czech Republic",1.98,94,left-handed,2009,331696,4960955,41857,292,VES,Czech Republic,"Vesely, Jiri"
11701841,Mansouri Y.,mansouri-yasmine,F,233,,,,,right-handed,,15224,61749,208061,483,MAN,France,"Mansouri, Yasmine"
11701842,Falkner Z.,falkner-ziva,F,232,,,,,,,16335,45027,288841,429,FAL,Slovenia,"Falkner, Ziva"
11701843,Kucmova A.,kucmova-aneta,F,207,,,,,,,15067,45666,195997,414,KUC,Czech Republic,"Kucmova, Aneta"
11701877,Bouquet L.,bouquet-lucas,M,118,,Gonesse,1.85,,right-handed,,4278,28613,135084,1134,BOU,France,"Bouquet, Lucas"
11701921,Van Rensburg S.,van-rensburg-sean,M,55,,,,,,,1428,3110,190405,1357,VAN,Australia,"Van Rensburg, Sean"
11701922,Sibille I.,sibille-imran,M,77,,Paris,1.83,,,,1035,6355,275073,1438,SIB,Morocco,"Sibille, Imran"
11701923,Jones A.,jones-adam,M,90,,,,,,,2310,12823,214298,1337,JON,United Kingdom,"Jones, Adam"
11701924,Cekirge K.,cekirge-kuzey,M,76,,Santa Cruz de Bezana,1.85,,right-handed,,2722,10992,217447,1473,CEK,Turkey,"Cekirge, Kuzey"
11701928,Filar K.,filar-karol,M,77,,,,,,,495,495,286500,1500,FIL,Poland,"Filar, Karol"
11701929,Ianin N.,ianin-nikita,M,50,,,,,,,1927,6738,387857,1278,IAN,Russia,"Ianin, Nikita"
11701931,Mossur M.,mossur-mykhailo,M,45,,,,,,,670,1390,383428,1717,MOS,Ukraine,"Mossur, Mykhailo"
11701933,Cesar Porras J.,cesar-porras-julio,M,122,,,,,,,5207,10464,390263,779,POR,Argentina,"Cesar Porras, Julio"
11701934,Militi Ribaldi A.,militi-ribaldi-andrea,M,106,,,,,,,1628,3261,225278,1188,MIL,Italy,"Militi Ribaldi, Andrea"
11702042,Karlovskiy E.,karlovskiy-evgeny,M,421,"Moscow, Russia","Moscow, Russia",1.91,85,right-handed,,12896,319168,54903,574,KAR,Russia,"Karlovskiy, Evgeny"
11702214,Hess S.,hess-sean,M,139,,Buenos Aires,1.78,,,,3646,10523,303899,1024,HES,Argentina,"Hess, Sean"
11702217,Ciurletti A.,ciurletti-andres-gabriel,M,106,Livorno-Italia,Ciudad Autónoma de Buenos,1.75,72,right-handed,,0,11588,166706,1411,CIU,Italy,"Ciurletti, Andres Gabriel"
11702218,Barreiros Reyes M.,barreiros-reyes-mateo,M,160,,Quito,1.78,,,,6459,14563,261752,842,BAR,Brazil,"Barreiros Reyes, Mateo"
11702224,Ratti L.,ratti-lucio,M,154,,"Lobos, Bs As, Argentina",1.83,,,,2600,5853,405124,1106,RAT,Argentina,"Ratti, Lucio"
11702225,Leal V.,leal-vitor,M,88,,Nova Iguaçu,1.93,,,,995,4188,320641,1349,LEA,Brazil,"Leal, Vitor"
11702241,Tenti F.,tenti-fermin,M,228,,"La Plata, Argentina",1.81,74,right-handed,,6830,57631,221015,895,TEN,Argentina,"Tenti, Fermin"
